"""Município de notificação"";""Semana 01"";""Semana 02"";""Semana 03"";""Semana 04"";""Semana 05"";""Semana 06"";""Semana 07"";""Semana 08"";""Semana 09"";""Semana 10"";""Semana 11"";""Semana 12"";""Semana 13"";""Semana 14"";""Semana 15"";""Semana 16"";""Semana 17"";""Semana 18"";""Semana 19"";""Semana 20"";""Semana 21"";""Semana 22"";""Semana 23"";""Semana 24"";""Semana 25"";""Semana 26"";""Semana 27"";""Semana 28"";""Semana 29"";""Semana 30"";""Semana 31"";""Semana 32"";""Semana 33"";""Semana 34"";""Semana 35"";""Semana 36"";""Semana 37"";""Semana 38"";""Semana 39"";""Semana 40"";""Semana 41"";""Semana 42"";""Semana 43"";""Semana 44"";""Semana 45"";""Semana 46"";""Semana 47"";""Semana 48"";""Semana 49"";""Semana 50"";""Semana 51"";""Semana 52"";""Semana 53"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";2;3;1;2;-;1;-;1;-;1;1;-;-;4;4;1;1;3;3;3;-;4;-;5;3;1;4;4;-;2;1;-;-;1;-;-;1;-;4;3;2;4;1;-;1;4;-;-;-;-;1;1;1;79"
"""110002 ARIQUEMES"";1;1;-;-;-;-;-;-;-;1;2;-;1;1;-;4;2;1;1;-;2;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;2;-;1;-;2;30"
"""110003 CABIXI"";-;-;-;-;-;-;-;-;-;1;4;2;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;18"
"""110004 CACOAL"";3;-;-;2;1;5;5;4;3;7;5;2;3;5;3;-;3;2;4;1;4;-;5;1;8;4;5;3;1;5;1;3;1;4;2;4;-;4;1;3;1;-;-;-;3;-;2;-;-;-;2;-;-;125"
"""110005 CEREJEIRAS"";-;-;-;-;-;2;1;1;2;2;2;7;3;1;-;-;3;5;1;2;3;5;6;5;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;56"
"""110006 COLORADO DO OESTE"";-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;3;2;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15"
"""110007 CORUMBIARA"";-;-;1;5;2;3;5;4;-;3;1;-;7;6;-;4;6;1;3;6;1;3;1;2;2;1;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;75"
"""110008 COSTA MARQUES"";-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14"
"""110009 ESPIGAO D'OESTE"";-;-;2;1;-;-;1;-;1;3;2;1;4;3;3;3;14;16;3;7;8;5;8;5;10;13;4;7;4;-;2;3;1;1;3;1;4;-;-;-;-;1;1;4;1;-;-;1;1;-;1;-;-;153"
"""110010 GUAJARA-MIRIM"";-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;-;-;9"
"""110011 JARU"";1;1;3;2;-;3;5;2;-;1;1;1;1;2;2;2;2;10;12;3;3;3;6;2;1;2;1;1;3;3;1;4;5;2;1;1;2;5;-;2;1;1;-;-;-;-;1;2;3;7;5;-;4;126"
"""110012 JI-PARANA"";1;1;-;2;4;2;6;3;6;7;9;9;2;9;16;28;46;22;26;15;20;11;13;8;5;7;2;5;3;9;9;-;2;3;8;4;2;4;5;5;4;3;3;1;1;4;3;8;3;4;7;3;2;385"
"""110013 MACHADINHO D'OESTE"";-;-;1;-;-;-;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;10"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;-;1;1;3;-;2;2;-;1;1;1;3;5;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24"
"""110015 OURO PRETO DO OESTE"";-;1;-;-;-;1;-;-;-;-;1;1;-;2;-;1;-;2;1;-;-;1;-;-;-;-;1;-;-;1;-;1;1;1;-;-;1;-;-;-;-;1;1;-;-;-;2;-;1;2;-;-;-;24"
"""110018 PIMENTA BUENO"";-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;2;-;2;-;1;2;2;3;1;-;1;2;1;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;24"
"""110020 PORTO VELHO"";9;7;1;7;5;3;5;3;7;9;9;14;5;7;3;8;9;9;7;9;8;10;6;-;5;3;2;3;3;2;5;4;2;-;1;1;2;1;4;2;1;3;2;2;-;-;1;1;-;4;-;-;-;214"
"""110025 PRESIDENTE MEDICI"";1;-;-;-;-;-;1;-;4;5;3;2;1;1;4;2;2;3;3;1;1;-;4;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;1;-;2;-;1;1;2;1;1;-;-;53"
"""110028 ROLIM DE MOURA"";2;2;-;1;2;1;2;1;5;3;17;12;34;44;13;24;22;10;4;2;1;3;-;-;3;7;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;2;1;222"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;1;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;11"
"""110030 VILHENA"";3;-;5;4;7;9;6;8;8;19;26;33;6;10;6;-;5;7;28;28;20;19;19;7;20;7;16;13;4;4;2;2;3;4;1;2;-;-;1;1;-;1;3;-;1;1;2;3;2;4;3;1;-;384"
"""110032 SAO MIGUEL DO GUAPORE"";1;-;1;-;-;-;-;-;-;1;3;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;1;-;-;1;1;2;6;5;13;42"
"""110033 NOVA MAMORE"";-;-;-;-;2;3;-;1;2;1;1;-;-;2;3;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18"
"""110034 ALVORADA D'OESTE"";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6"
"""110037 ALTO ALEGRE DOS PARECIS"";-;3;-;1;-;-;-;3;4;2;11;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26"
"""110040 ALTO PARAISO"";-;1;-;-;1;4;2;-;4;1;2;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;20"
"""110045 BURITIS"";1;4;2;2;3;-;-;-;-;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;2;1;-;-;2;26"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6"
"""110060 CACAULANDIA"";1;-;1;-;-;2;2;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;17"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""110080 CANDEIAS DO JAMARI"";-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;1;2;1;4;4;1;2;1;-;-;2;2;-;1;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;1;-;-;1;1;1;-;-;-;32"
"""110090 CASTANHEIRAS"";2;-;-;1;-;-;2;-;-;-;1;-;-;1;5;-;2;3;3;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;26"
"""110092 CHUPINGUAIA"";-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;3;2;1;3;1;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;22"
"""110094 CUJUBIM"";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;1;-;-;-;1;-;-;-;-;-;1;-;1;13"
"""110100 GOVERNADOR JORGE TEIXEIRA"";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3"
"""110110 ITAPUA DO OESTE"";1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2;1;2;1;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;3;2;2;-;-;-;-;1;-;-;-;-;1;24"
