"""Semana epidem. 1§ Sintomas(s)"";""Em Branco/ign"";""<1975"";""1975"";""1976"";""1977"";""1978"";""1979"";""1980"";""1981"";""1982"";""1983"";""1984"";""1985"";""1986"";""1987"";""1988"";""1989"";""1990"";""1991"";""1992"";""1993"";""1994"";""1995"";""1996"";""1997"";""1998"";""1999"";""2000"";""2001"";""2002"";""2003"";""2004"";""2005"";""2006"";""2007"";""2008"";""2009"";""2010"";""2011"";""2012"";""2013"";""2014"";""2015"";""2016"";""2017"";""2018"";""2019"";""2020"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
"""Em Branco/ign"";15;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""Semana 01"";1;16;-;1;-;1;1;-;-;3;-;1;-;1;2;2;-;1;2;-;1;4;1;4;-;1;1;1;1;4;-;1;1;1;-;-;2;5;1;1;3;-;4;-;3;1892;11449;9078;5389;11660;18002;55477;19797;9286;142102"
"""Semana 02"";1;37;1;1;3;1;-;1;3;2;-;1;-;2;1;2;-;-;1;-;1;2;1;-;1;2;3;-;-;2;2;-;2;-;1;1;-;5;-;1;1;1;3;3;1;37;11730;19180;5872;11945;14203;61515;37399;10051;172022"
"""Semana 03"";-;23;1;1;-;-;-;2;1;2;-;-;2;-;2;4;2;-;-;1;2;-;1;1;4;1;1;3;2;-;1;1;2;-;1;1;1;4;1;1;3;-;1;1;2;41;14596;25603;7113;13045;17968;89814;43202;10926;222384"
"""Semana 04"";-;27;2;2;1;4;1;2;3;3;2;2;2;4;-;2;3;2;1;-;1;1;-;-;-;-;3;1;5;1;2;4;-;2;2;2;2;2;2;-;3;2;6;2;4;36;19407;33455;7953;13786;20604;127227;51492;11865;285935"
"""Semana 05"";-;24;2;2;2;1;1;1;4;3;-;1;3;2;-;2;-;-;1;2;4;2;-;4;3;2;1;5;1;1;1;-;2;1;-;1;2;1;1;3;-;2;6;4;1;79;23888;37312;10101;17244;27869;164645;56467;14369;352073"
"""Semana 06"";3;21;1;1;1;1;-;-;3;2;1;-;4;3;2;-;3;3;2;3;1;2;-;-;1;4;2;2;1;5;-;-;-;2;-;2;1;6;3;-;-;4;3;3;1;43;28310;48135;11563;19084;35410;201447;57516;15566;417171"
"""Semana 07"";1;29;1;3;1;4;-;1;1;1;2;1;1;1;1;4;-;2;2;5;3;1;2;3;1;-;2;6;2;4;1;-;2;3;-;-;2;1;1;4;2;7;2;2;9;35;32096;54691;13664;20871;36856;249440;65007;19339;492120"
"""Semana 08"";1;20;-;-;2;-;4;2;1;1;1;1;-;2;3;3;4;5;1;1;1;2;-;1;2;4;2;3;-;8;3;2;-;-;2;1;5;6;2;3;3;2;7;6;5;26;34504;48624;14324;21873;41451;310288;72053;21518;564783"
"""Semana 09"";4;28;1;3;1;2;-;2;3;-;1;4;-;1;-;1;1;1;3;4;2;5;3;1;3;1;2;7;1;5;2;1;4;2;1;-;2;3;3;1;2;1;10;2;6;30;34471;52579;16857;34403;53807;342519;71397;22923;629116"
