"""Munic¡pio de notifica‡Æo"";""Em Branco"";""Ignorado"";""Masculino"";""Feminino"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;38;40;78"
"""110002 ARIQUEMES"";-;-;15;14;29"
"""110003 CABIXI"";-;-;7;11;18"
"""110004 CACOAL"";-;-;65;59;124"
"""110005 CEREJEIRAS"";-;-;18;38;56"
"""110006 COLORADO DO OESTE"";-;-;3;12;15"
"""110007 CORUMBIARA"";-;-;28;46;74"
"""110008 COSTA MARQUES"";-;-;5;9;14"
"""110009 ESPIGAO D'OESTE"";-;-;61;92;153"
"""110010 GUAJARA-MIRIM"";-;-;6;3;9"
"""110011 JARU"";-;-;44;80;124"
"""110012 JI-PARANA"";-;-;179;205;384"
"""110013 MACHADINHO D'OESTE"";-;-;4;6;10"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;11;13;24"
"""110015 OURO PRETO DO OESTE"";-;-;14;10;24"
"""110018 PIMENTA BUENO"";-;-;9;15;24"
"""110020 PORTO VELHO"";-;-;107;103;210"
"""110025 PRESIDENTE MEDICI"";-;-;23;30;53"
"""110028 ROLIM DE MOURA"";-;-;101;119;220"
"""110029 SANTA LUZIA D'OESTE"";-;-;6;5;11"
"""110030 VILHENA"";-;-;147;236;383"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;13;21;34"
"""110033 NOVA MAMORE"";-;-;12;6;18"
"""110034 ALVORADA D'OESTE"";-;-;3;3;6"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;15;11;26"
"""110040 ALTO PARAISO"";-;-;6;14;20"
"""110045 BURITIS"";-;-;13;12;25"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;2;4;6"
"""110060 CACAULANDIA"";-;-;9;7;16"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;2;3;5"
"""110080 CANDEIAS DO JAMARI"";-;-;13;19;32"
"""110090 CASTANHEIRAS"";-;-;10;16;26"
"""110092 CHUPINGUAIA"";-;-;6;16;22"
"""110094 CUJUBIM"";-;-;7;5;12"
