"""Munic¡pio de notifica‡Æo"";""Ignorado"";""Masculino"";""Feminino"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;35;39;74"
"""110002 ARIQUEMES"";-;18;24;42"
"""110003 CABIXI"";-;1;1;2"
"""110004 CACOAL"";-;2;5;7"
"""110005 CEREJEIRAS"";-;1;1;2"
"""110007 CORUMBIARA"";-;4;2;6"
"""110009 ESPIGAO D'OESTE"";-;7;6;13"
"""110010 GUAJARA-MIRIM"";-;-;3;3"
"""110011 JARU"";-;18;32;50"
"""110012 JI-PARANA"";-;13;16;29"
"""110013 MACHADINHO D'OESTE"";-;-;2;2"
"""110014 NOVA BRASILANDIA D'OESTE"";-;2;-;2"
"""110015 OURO PRETO DO OESTE"";-;4;1;5"
"""110020 PORTO VELHO"";-;5;9;14"
"""110025 PRESIDENTE MEDICI"";-;5;4;9"
"""110026 RIO CRESPO"";-;4;5;9"
"""110028 ROLIM DE MOURA"";-;2;8;10"
"""110029 SANTA LUZIA D'OESTE"";-;1;1;2"
"""110030 VILHENA"";-;23;39;62"
"""110032 SAO MIGUEL DO GUAPORE"";-;14;17;31"
"""110034 ALVORADA D'OESTE"";-;1;3;4"
"""110037 ALTO ALEGRE DOS PARECIS"";-;1;2;3"
"""110045 BURITIS"";-;4;1;5"
"""110050 NOVO HORIZONTE DO OESTE"";-;1;1;2"
"""110060 CACAULANDIA"";-;-;1;1"
"""110070 CAMPO NOVO DE RONDONIA"";-;1;-;1"
"""110080 CANDEIAS DO JAMARI"";-;-;1;1"
"""110090 CASTANHEIRAS"";-;1;1;2"
"""110094 CUJUBIM"";-;2;-;2"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;2;2"
"""110110 ITAPUA DO OESTE"";-;1;2;3"
"""110120 MINISTRO ANDREAZZA"";-;-;2;2"
"""110130 MIRANTE DA SERRA"";-;1;6;7"
"""110140 MONTE NEGRO"";-;3;5;8"
"""110143 NOVA UNIAO"";-;1;-;1"
"""110145 PARECIS"";-;24;23;47"
