"""Município de notificação"";""Ign/Branco"";""Inconclusivo"";""Dengue"";""Dengue com sinais de alarme"";""Dengue grave"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";75;89;1200;53;4;1421"
"""110002 ARIQUEMES"";33;46;1784;3;1;1867"
"""110003 CABIXI"";1;51;174;-;-;226"
"""110004 CACOAL"";2;20;3313;108;11;3454"
"""110005 CEREJEIRAS"";2;23;418;1;-;444"
"""110006 COLORADO DO OESTE"";1;38;165;1;-;205"
"""110007 CORUMBIARA"";6;22;194;-;-;222"
"""110008 COSTA MARQUES"";-;130;151;-;-;281"
"""110009 ESPIGAO D'OESTE"";1;227;1019;-;-;1247"
"""110010 GUAJARA-MIRIM"";1;33;309;-;-;343"
"""110011 JARU"";37;111;2319;2;-;2469"
"""110012 JI-PARANA"";19;54;1993;11;4;2081"
"""110013 MACHADINHO D'OESTE"";1;28;441;-;-;470"
"""110014 NOVA BRASILANDIA D'OESTE"";-;3;1133;105;4;1245"
"""110015 OURO PRETO DO OESTE"";3;35;125;-;-;163"
"""110018 PIMENTA BUENO"";-;29;1315;1;-;1345"
"""110020 PORTO VELHO"";-;122;4423;165;13;4723"
"""110025 PRESIDENTE MEDICI"";8;174;476;-;-;658"
"""110026 RIO CRESPO"";7;7;135;-;-;149"
"""110028 ROLIM DE MOURA"";9;130;2021;7;1;2168"
"""110029 SANTA LUZIA D'OESTE"";2;68;199;2;-;271"
"""110030 VILHENA"";55;291;4676;36;5;5063"
"""110032 SAO MIGUEL DO GUAPORE"";20;68;255;-;-;343"
"""110033 NOVA MAMORE"";1;56;585;1;-;643"
"""110034 ALVORADA D'OESTE"";-;16;375;-;1;392"
"""110037 ALTO ALEGRE DOS PARECIS"";3;31;325;-;-;359"
"""110040 ALTO PARAISO"";-;6;201;-;-;207"
"""110045 BURITIS"";5;338;940;1;-;1284"
"""110050 NOVO HORIZONTE DO OESTE"";-;16;124;-;-;140"
"""110060 CACAULANDIA"";-;7;401;13;-;421"
"""110070 CAMPO NOVO DE RONDONIA"";1;44;137;-;-;182"
"""110080 CANDEIAS DO JAMARI"";1;201;104;-;-;306"
"""110090 CASTANHEIRAS"";2;108;47;-;-;157"
"""110092 CHUPINGUAIA"";-;50;450;-;-;500"
"""110094 CUJUBIM"";2;35;260;4;-;301"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;31;147;-;-;178"
"""110110 ITAPUA DO OESTE"";2;17;412;-;-;431"
"""110120 MINISTRO ANDREAZZA"";1;8;145;1;-;155"
"""110130 MIRANTE DA SERRA"";2;115;123;1;-;241"
"""110140 MONTE NEGRO"";2;119;496;-;-;617"
"""110143 NOVA UNIAO"";-;25;35;1;-;61"
"""110145 PARECIS"";49;86;175;4;1;315"
"""110146 PIMENTEIRAS DO OESTE"";4;105;24;-;-;133"
"""110147 PRIMAVERA DE RONDONIA"";1;25;260;-;-;286"
"""110148 SAO FELIPE D'OESTE"";2;36;299;1;-;338"
"""110149 SAO FRANCISCO DO GUAPORE"";8;31;509;4;1;553"
"""110150 SERINGUEIRAS"";5;91;426;-;-;522"
"""110155 TEIXEIROPOLIS"";-;21;63;2;-;86"
"""110160 THEOBROMA"";-;19;118;-;-;137"
"""110170 URUPA"";-;15;99;-;-;114"
"""110175 VALE DO ANARI"";-;33;351;3;-;387"
"""110180 VALE DO PARAISO"";-;32;121;1;-;154"
"""120001 ACRELANDIA"";1;25;252;5;-;283"
"""120005 ASSIS BRASIL"";7;149;1805;1;-;1962"
"""120010 BRASILEIA"";23;279;3615;15;4;3936"
"""120013 BUJARI"";5;162;173;-;-;340"
"""120017 CAPIXABA"";7;121;332;-;-;460"
"""120020 CRUZEIRO DO SUL"";265;422;13030;300;20;14037"
"""120025 EPITACIOLANDIA"";2;47;312;-;-;361"
"""120030 FEIJO"";3;2275;533;1;-;2812"
"""120032 JORDAO"";-;-;-;1;-;1"
"""120033 MANCIO LIMA"";7;554;926;3;-;1490"
"""120034 MANOEL URBANO"";-;68;416;2;-;486"
"""120035 MARECHAL THAUMATURGO"";12;941;754;2;-;1709"
"""120038 PLACIDO DE CASTRO"";-;189;132;-;1;322"
"""120039 PORTO WALTER"";9;58;321;-;-;388"
"""120040 RIO BRANCO"";147;809;16202;273;6;17437"
"""120042 RODRIGUES ALVES"";22;500;1602;-;-;2124"
"""120043 SANTA ROSA DO PURUS"";-;3;-;-;-;3"
"""120045 SENADOR GUIOMARD"";17;190;16;1;1;225"
"""120050 SENA MADUREIRA"";17;162;1888;-;-;2067"
"""120060 TARAUACA"";32;53;6676;1;-;6762"
"""120070 XAPURI"";14;128;1943;-;-;2085"
"""120080 PORTO ACRE"";1;200;199;-;-;400"
"""130002 ALVARAES"";17;37;529;-;-;583"
"""130006 AMATURA"";-;3;1;-;-;4"
"""130010 ANORI"";1;-;2;-;-;3"
"""130014 APUI"";-;4;3;-;-;7"
"""130020 ATALAIA DO NORTE"";-;21;890;1;-;912"
"""130030 AUTAZES"";-;1;4;-;-;5"
"""130040 BARCELOS"";-;38;123;-;-;161"
"""130060 BENJAMIN CONSTANT"";1;27;3114;7;4;3153"
"""130063 BERURI"";-;13;53;-;-;66"
"""130068 BOA VISTA DO RAMOS"";-;-;3;-;-;3"
"""130070 BOCA DO ACRE"";2;23;975;2;-;1002"
"""130080 BORBA"";2;120;30;-;-;152"
"""130083 CAAPIRANGA"";-;2;9;-;-;11"
"""130090 CANUTAMA"";-;184;2;-;-;186"
"""130100 CARAUARI"";7;8;1053;-;-;1068"
"""130110 CAREIRO"";-;-;22;-;-;22"
"""130115 CAREIRO DA VARZEA"";-;-;1;-;-;1"
"""130120 COARI"";22;193;461;-;3;679"
"""130130 CODAJAS"";3;103;286;8;-;400"
"""130140 EIRUNEPE"";146;5;953;1;-;1105"
"""130150 ENVIRA"";1;3;1632;5;1;1642"
"""130160 FONTE BOA"";-;5;2;-;-;7"
"""130165 GUAJARA"";-;12;2493;19;1;2525"
"""130170 HUMAITA"";1;1;1023;1;-;1026"
"""130180 IPIXUNA"";51;100;1247;5;-;1403"
"""130185 IRANDUBA"";-;10;454;-;-;464"
"""130190 ITACOATIARA"";-;43;73;-;-;116"
"""130210 JAPURA"";-;9;749;-;-;758"
"""130220 JURUA"";-;-;8;-;-;8"
"""130230 JUTAI"";5;633;1891;1;7;2537"
"""130240 LABREA"";1;346;2004;2;3;2356"
"""130250 MANACAPURU"";5;113;222;-;-;340"
"""130255 MANAQUIRI"";-;5;2;-;-;7"
"""130260 MANAUS"";83;920;10664;209;27;11903"
