"""Município de notificação"";""Ign/Branco"";""Cura"";""Óbito pelo agravo notificado"";""Óbito por outra causa"";""Óbito em investigação"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";172;1247;1;1;-;1421"
"""110002 ARIQUEMES"";182;1682;2;-;1;1867"
"""110003 CABIXI"";70;156;-;-;-;226"
"""110004 CACOAL"";43;3396;8;7;-;3454"
"""110005 CEREJEIRAS"";27;417;-;-;-;444"
"""110006 COLORADO DO OESTE"";40;164;1;-;-;205"
"""110007 CORUMBIARA"";37;184;-;1;-;222"
"""110008 COSTA MARQUES"";156;125;-;-;-;281"
"""110009 ESPIGAO D'OESTE"";249;997;1;-;-;1247"
"""110010 GUAJARA-MIRIM"";44;298;1;-;-;343"
"""110011 JARU"";231;2235;2;-;1;2469"
"""110012 JI-PARANA"";677;1400;2;1;1;2081"
"""110013 MACHADINHO D'OESTE"";26;443;-;1;-;470"
"""110014 NOVA BRASILANDIA D'OESTE"";32;1210;3;-;-;1245"
"""110015 OURO PRETO DO OESTE"";57;106;-;-;-;163"
"""110018 PIMENTA BUENO"";31;1313;-;1;-;1345"
"""110020 PORTO VELHO"";202;4502;10;8;1;4723"
"""110025 PRESIDENTE MEDICI"";183;475;-;-;-;658"
"""110026 RIO CRESPO"";17;132;-;-;-;149"
"""110028 ROLIM DE MOURA"";252;1914;1;1;-;2168"
"""110029 SANTA LUZIA D'OESTE"";85;186;-;-;-;271"
"""110030 VILHENA"";489;4570;2;2;-;5063"
"""110032 SAO MIGUEL DO GUAPORE"";92;251;-;-;-;343"
"""110033 NOVA MAMORE"";128;514;-;1;-;643"
"""110034 ALVORADA D'OESTE"";30;361;1;-;-;392"
"""110037 ALTO ALEGRE DOS PARECIS"";74;285;-;-;-;359"
"""110040 ALTO PARAISO"";6;201;-;-;-;207"
"""110045 BURITIS"";436;848;-;-;-;1284"
"""110050 NOVO HORIZONTE DO OESTE"";41;99;-;-;-;140"
"""110060 CACAULANDIA"";46;374;-;1;-;421"
"""110070 CAMPO NOVO DE RONDONIA"";61;121;-;-;-;182"
"""110080 CANDEIAS DO JAMARI"";246;60;-;-;-;306"
"""110090 CASTANHEIRAS"";133;24;-;-;-;157"
"""110092 CHUPINGUAIA"";64;436;-;-;-;500"
"""110094 CUJUBIM"";68;233;-;-;-;301"
"""110100 GOVERNADOR JORGE TEIXEIRA"";36;142;-;-;-;178"
"""110110 ITAPUA DO OESTE"";23;408;-;-;-;431"
"""110120 MINISTRO ANDREAZZA"";19;136;-;-;-;155"
"""110130 MIRANTE DA SERRA"";127;114;-;-;-;241"
"""110140 MONTE NEGRO"";290;327;-;-;-;617"
"""110143 NOVA UNIAO"";29;32;-;-;-;61"
"""110145 PARECIS"";144;171;-;-;-;315"
"""110146 PIMENTEIRAS DO OESTE"";111;22;-;-;-;133"
"""110147 PRIMAVERA DE RONDONIA"";30;256;-;-;-;286"
"""110148 SAO FELIPE D'OESTE"";39;298;-;1;-;338"
"""110149 SAO FRANCISCO DO GUAPORE"";70;482;1;-;-;553"
"""110150 SERINGUEIRAS"";124;397;-;-;1;522"
"""110155 TEIXEIROPOLIS"";29;57;-;-;-;86"
"""110160 THEOBROMA"";29;108;-;-;-;137"
"""110170 URUPA"";24;90;-;-;-;114"
"""110175 VALE DO ANARI"";127;260;-;-;-;387"
"""110180 VALE DO PARAISO"";44;110;-;-;-;154"
"""120001 ACRELANDIA"";40;243;-;-;-;283"
"""120005 ASSIS BRASIL"";170;1791;1;-;-;1962"
