"""Município de notificação"";""Em branco/IGN"";""<1 Ano"";""1-4"";""5-9"";""10-14"";""15-19"";""20-39"";""40-59"";""60-64"";""65-69"";""70-79"";""80 e +"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;25;52;76;109;157;494;362;49;39;44;14;1421"
"""110002 ARIQUEMES"";-;20;67;138;170;163;615;495;85;45;51;18;1867"
"""110003 CABIXI"";-;2;7;8;19;12;65;83;15;6;8;1;226"
"""110004 CACOAL"";1;66;187;342;305;225;1018;872;125;113;133;66;3453"
"""110005 CEREJEIRAS"";-;6;11;28;29;27;142;138;20;13;20;10;444"
"""110006 COLORADO DO OESTE"";-;1;-;11;14;18;68;63;12;6;6;6;205"
"""110007 CORUMBIARA"";-;-;4;7;18;15;67;79;8;9;10;5;222"
"""110008 COSTA MARQUES"";-;5;9;18;15;21;107;79;10;7;5;5;281"
"""110009 ESPIGAO D'OESTE"";-;9;58;98;108;105;398;327;54;29;46;14;1246"
"""110010 GUAJARA-MIRIM"";-;6;8;11;32;34;122;98;10;12;9;1;343"
"""110011 JARU"";1;35;66;158;161;205;920;634;91;87;72;39;2469"
"""110012 JI-PARANA"";3;31;86;129;148;179;792;519;74;34;60;26;2081"
"""110013 MACHADINHO D'OESTE"";-;7;15;33;36;46;163;122;16;15;15;2;470"
"""110014 NOVA BRASILANDIA D'OESTE"";-;13;42;65;71;108;463;325;56;44;44;13;1244"
"""110015 OURO PRETO DO OESTE"";1;5;3;9;6;14;52;37;10;10;11;5;163"
"""110018 PIMENTA BUENO"";-;6;24;100;111;108;451;381;68;42;45;9;1345"
"""110020 PORTO VELHO"";-;49;167;305;417;407;1547;1278;188;149;146;70;4723"
"""110025 PRESIDENTE MEDICI"";1;9;13;23;46;65;196;208;30;20;30;16;657"
"""110026 RIO CRESPO"";-;5;3;10;6;12;44;50;5;5;6;3;149"
"""110028 ROLIM DE MOURA"";-;40;44;130;148;205;887;539;68;45;42;20;2168"
"""110029 SANTA LUZIA D'OESTE"";-;4;5;20;20;23;95;76;12;7;6;3;271"
"""110030 VILHENA"";12;147;295;413;468;398;1694;1224;160;115;99;38;5063"
"""110032 SAO MIGUEL DO GUAPORE"";-;5;11;14;21;34;142;96;7;6;4;3;343"
"""110033 NOVA MAMORE"";1;8;16;28;43;52;265;172;22;15;18;3;643"
"""110034 ALVORADA D'OESTE"";-;5;11;21;31;29;123;108;25;19;14;6;392"
"""110037 ALTO ALEGRE DOS PARECIS"";-;2;10;14;29;32;142;100;13;6;7;4;359"
"""110040 ALTO PARAISO"";-;5;9;14;16;16;63;55;11;5;9;4;207"
"""110045 BURITIS"";-;26;73;90;73;103;490;316;37;29;28;19;1284"
"""110050 NOVO HORIZONTE DO OESTE"";-;1;6;10;9;10;44;41;7;6;3;3;140"
"""110060 CACAULANDIA"";-;4;12;12;31;29;165;116;15;11;21;5;421"
"""110070 CAMPO NOVO DE RONDONIA"";-;4;3;7;14;19;69;51;8;2;5;-;182"
"""110080 CANDEIAS DO JAMARI"";-;5;3;18;21;22;100;92;17;15;12;1;306"
"""110090 CASTANHEIRAS"";-;2;3;6;11;11;51;53;9;4;4;2;156"
"""110092 CHUPINGUAIA"";-;18;31;45;39;44;177;106;23;9;6;2;500"
"""110094 CUJUBIM"";-;6;15;25;22;31;114;72;3;3;9;1;301"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;3;4;12;17;13;59;50;4;6;9;1;178"
"""110110 ITAPUA DO OESTE"";-;3;7;16;22;37;166;125;16;15;20;4;431"
"""110120 MINISTRO ANDREAZZA"";-;-;4;7;8;13;57;44;5;5;10;2;155"
"""110130 MIRANTE DA SERRA"";-;1;13;17;21;29;85;58;4;7;-;6;241"
"""110140 MONTE NEGRO"";-;6;16;26;67;67;218;149;21;22;18;7;617"
"""110143 NOVA UNIAO"";-;1;1;4;3;5;24;17;3;2;1;-;61"
"""110145 PARECIS"";-;7;8;10;25;30;128;78;14;7;4;4;315"
"""110146 PIMENTEIRAS DO OESTE"";-;1;3;6;5;13;41;49;6;6;3;-;133"
"""110147 PRIMAVERA DE RONDONIA"";-;3;4;14;21;22;100;94;10;10;6;2;286"
"""110148 SAO FELIPE D'OESTE"";-;2;7;14;27;31;114;95;16;11;17;4;338"
"""110149 SAO FRANCISCO DO GUAPORE"";-;7;17;42;50;47;200;132;21;15;13;9;553"
"""110150 SERINGUEIRAS"";-;3;12;37;45;59;199;117;22;9;14;5;522"
"""110155 TEIXEIROPOLIS"";-;-;3;9;5;5;27;27;6;4;-;-;86"
"""110160 THEOBROMA"";-;3;3;5;9;6;37;49;11;4;8;2;137"
"""110170 URUPA"";-;-;5;5;6;9;43;28;9;2;5;2;114"
"""110175 VALE DO ANARI"";-;7;15;13;41;42;141;89;14;10;10;5;387"
"""110180 VALE DO PARAISO"";-;-;3;8;13;9;41;61;6;7;1;5;154"
"""120001 ACRELANDIA"";-;4;8;15;17;29;111;61;11;15;9;3;283"
"""120005 ASSIS BRASIL"";-;19;23;98;162;244;806;449;53;42;54;12;1962"
"""120010 BRASILEIA"";-;60;88;183;239;416;1821;871;94;61;73;30;3936"
"""120013 BUJARI"";-;4;10;9;19;25;135;105;13;12;8;-;340"
"""120017 CAPIXABA"";-;5;14;11;36;39;204;113;22;8;2;6;460"
"""120020 CRUZEIRO DO SUL"";-;265;371;705;880;1246;5656;3482;478;323;441;190;14037"
"""120025 EPITACIOLANDIA"";-;14;7;24;32;38;131;85;10;7;6;7;361"
"""120030 FEIJO"";-;48;86;146;219;324;1138;621;70;58;72;30;2812"
"""120032 JORDAO"";-;-;-;-;-;-;1;-;-;-;-;-;1"
"""120033 MANCIO LIMA"";-;18;38;71;106;131;608;379;43;28;48;20;1490"
"""120034 MANOEL URBANO"";-;7;10;21;29;54;208;115;13;9;17;3;486"
"""120035 MARECHAL THAUMATURGO"";-;30;49;100;131;193;750;332;40;33;35;16;1709"
"""120038 PLACIDO DE CASTRO"";-;2;3;12;24;29;137;87;10;10;6;2;322"
"""120039 PORTO WALTER"";-;7;10;22;32;40;144;94;9;11;16;3;388"
"""120040 RIO BRANCO"";-;224;621;1131;1481;1514;6896;4147;543;359;364;157;17437"
"""120042 RODRIGUES ALVES"";-;38;40;104;149;240;930;462;40;45;56;20;2124"
"""120043 SANTA ROSA DO PURUS"";-;-;-;-;-;-;3;-;-;-;-;-;3"
"""120045 SENADOR GUIOMARD"";-;6;5;10;12;22;73;62;12;12;10;1;225"
"""120050 SENA MADUREIRA"";-;44;32;92;161;223;838;492;52;51;67;15;2067"
"""120060 TARAUACA"";-;186;232;328;512;649;2550;1603;218;182;212;90;6762"
"""120070 XAPURI"";-;22;53;80;198;239;869;436;77;35;61;15;2085"
"""120080 PORTO ACRE"";-;2;6;12;21;41;147;132;11;8;14;6;400"
"""130002 ALVARAES"";-;10;10;38;43;54;228;129;27;20;14;10;583"
"""130006 AMATURA"";-;-;-;-;-;1;3;-;-;-;-;-;4"
"""130010 ANORI"";-;-;-;-;-;-;2;1;-;-;-;-;3"
"""130014 APUI"";-;-;-;-;-;-;5;1;1;-;-;-;7"
"""130020 ATALAIA DO NORTE"";-;5;13;32;74;100;403;212;26;17;24;6;912"
"""130030 AUTAZES"";-;-;-;-;2;-;2;1;-;-;-;-;5"
"""130040 BARCELOS"";-;4;7;15;20;15;60;31;4;1;4;-;161"
"""130060 BENJAMIN CONSTANT"";-;36;60;138;283;319;1280;737;108;68;83;41;3153"
"""130063 BERURI"";-;1;1;6;9;5;27;13;2;-;2;-;66"
"""130068 BOA VISTA DO RAMOS"";-;-;-;-;1;-;2;-;-;-;-;-;3"
"""130070 BOCA DO ACRE"";-;3;15;42;61;85;338;308;45;33;45;27;1002"
"""130080 BORBA"";-;7;12;11;17;18;53;23;6;-;2;3;152"
"""130083 CAAPIRANGA"";-;1;-;-;-;1;3;5;1;-;-;-;11"
"""130090 CANUTAMA"";-;1;1;6;20;17;84;40;5;5;5;2;186"
"""130100 CARAUARI"";-;12;25;45;101;140;440;246;19;21;16;3;1068"
"""130110 CAREIRO"";-;-;-;-;3;1;14;3;-;-;1;-;22"
"""130115 CAREIRO DA VARZEA"";-;-;-;-;-;-;-;-;-;1;-;-;1"
"""130120 COARI"";-;11;15;36;56;65;255;170;16;19;28;8;679"
"""130130 CODAJAS"";-;9;18;19;35;53;123;104;12;10;11;6;400"
"""130140 EIRUNEPE"";-;11;19;55;79;116;435;273;45;24;33;15;1105"
"""130150 ENVIRA"";-;20;48;100;94;126;597;453;61;51;58;34;1642"
"""130160 FONTE BOA"";-;1;-;-;-;-;2;3;1;-;-;-;7"
"""130165 GUAJARA"";-;22;81;125;172;240;968;654;78;66;82;37;2525"
"""130170 HUMAITA"";1;5;11;32;69;104;407;298;36;32;24;7;1026"
"""130180 IPIXUNA"";-;27;45;78;100;126;542;334;53;29;49;20;1403"
"""130185 IRANDUBA"";-;3;7;23;45;61;188;114;12;6;2;3;464"
"""130190 ITACOATIARA"";-;3;9;8;13;5;53;21;2;-;2;-;116"
"""130210 JAPURA"";-;34;41;50;56;52;273;177;29;18;16;12;758"
