"""Município de notificação"";""Ign/Em Branco"";""Jan"";""Fev"";""Mar"";""Abr"";""Mai"";""Jun"";""Jul"";""Ago"";""Set"";""Out"";""Nov"";""Dez"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";6;233;152;113;85;122;119;134;74;51;65;103;164;1421"
"""110002 ARIQUEMES"";148;211;240;383;301;153;92;82;69;30;27;45;86;1867"
"""110003 CABIXI"";9;26;18;60;11;18;11;6;2;12;16;26;11;226"
"""110004 CACOAL"";91;639;848;759;427;176;95;68;34;43;33;64;177;3454"
"""110005 CEREJEIRAS"";150;35;48;102;26;35;19;7;4;1;5;3;9;444"
"""110006 COLORADO DO OESTE"";61;6;31;31;13;9;28;10;2;3;4;2;5;205"
"""110007 CORUMBIARA"";36;24;71;31;22;16;9;4;2;-;2;2;3;222"
"""110008 COSTA MARQUES"";16;14;48;104;36;7;3;3;8;5;19;5;13;281"
"""110009 ESPIGAO D'OESTE"";124;68;123;257;318;173;104;30;22;9;5;9;5;1247"
"""110010 GUAJARA-MIRIM"";26;107;82;45;12;8;7;4;2;6;3;10;31;343"
"""110011 JARU"";99;511;207;169;74;80;73;48;32;40;132;391;613;2469"
"""110012 JI-PARANA"";8;392;398;298;246;189;87;68;56;49;31;56;203;2081"
"""110013 MACHADINHO D'OESTE"";32;31;109;57;112;60;16;10;11;2;8;9;13;470"
"""110014 NOVA BRASILANDIA D'OESTE"";238;66;90;224;225;135;87;43;31;27;25;26;28;1245"
"""110015 OURO PRETO DO OESTE"";9;24;17;23;22;18;5;2;5;6;8;11;13;163"
"""110018 PIMENTA BUENO"";37;266;331;273;121;70;17;35;27;19;21;31;97;1345"
"""110020 PORTO VELHO"";263;545;675;843;701;506;298;238;128;67;92;144;223;4723"
"""110025 PRESIDENTE MEDICI"";19;94;162;144;70;42;15;26;9;7;10;25;35;658"
"""110026 RIO CRESPO"";16;35;24;32;16;15;1;1;3;1;-;-;5;149"
"""110028 ROLIM DE MOURA"";147;192;529;664;314;110;43;32;26;21;17;35;38;2168"
"""110029 SANTA LUZIA D'OESTE"";29;53;33;41;9;13;4;3;-;1;8;31;46;271"
"""110030 VILHENA"";1118;600;458;516;371;412;266;186;150;91;165;299;431;5063"
"""110032 SAO MIGUEL DO GUAPORE"";89;100;48;13;10;8;9;-;1;1;7;10;47;343"
"""110033 NOVA MAMORE"";215;91;95;72;40;22;13;13;3;-;12;17;50;643"
"""110034 ALVORADA D'OESTE"";2;136;55;11;13;8;3;2;1;1;1;23;136;392"
"""110037 ALTO ALEGRE DOS PARECIS"";78;32;20;60;15;3;3;1;3;3;68;27;46;359"
"""110040 ALTO PARAISO"";12;31;25;28;13;23;16;8;5;-;10;23;13;207"
"""110045 BURITIS"";150;268;262;156;113;40;54;22;9;12;24;48;126;1284"
"""110050 NOVO HORIZONTE DO OESTE"";1;4;13;81;11;11;3;3;1;1;1;9;1;140"
"""110060 CACAULANDIA"";22;76;132;81;32;31;7;4;5;2;3;6;20;421"
"""110070 CAMPO NOVO DE RONDONIA"";9;33;12;21;15;5;7;6;1;-;2;10;61;182"
"""110080 CANDEIAS DO JAMARI"";-;24;44;81;41;50;24;10;14;4;-;7;7;306"
"""110090 CASTANHEIRAS"";-;22;39;17;17;14;5;3;3;1;5;16;15;157"
"""110092 CHUPINGUAIA"";6;58;68;116;75;71;28;31;9;11;8;12;7;500"
"""110094 CUJUBIM"";-;17;74;98;31;28;13;10;6;9;4;1;10;301"
"""110100 GOVERNADOR JORGE TEIXEIRA"";9;13;4;2;3;6;5;15;3;32;22;38;26;178"
"""110110 ITAPUA DO OESTE"";114;65;82;62;15;6;9;12;3;4;10;29;20;431"
"""110120 MINISTRO ANDREAZZA"";5;36;16;44;15;8;4;1;1;-;1;2;22;155"
"""110130 MIRANTE DA SERRA"";1;27;50;19;32;23;29;11;12;7;2;2;26;241"
"""110140 MONTE NEGRO"";17;65;61;86;59;19;19;10;6;8;24;140;103;617"
"""110143 NOVA UNIAO"";2;3;6;18;13;7;8;1;1;-;-;-;2;61"
"""110145 PARECIS"";50;50;71;58;31;12;8;1;3;9;7;6;9;315"
"""110146 PIMENTEIRAS DO OESTE"";18;8;37;16;41;9;-;-;-;-;-;3;1;133"
"""110147 PRIMAVERA DE RONDONIA"";2;20;13;45;18;3;3;4;13;14;34;67;50;286"
"""110148 SAO FELIPE D'OESTE"";23;33;58;99;13;11;25;23;8;9;7;15;14;338"
"""110149 SAO FRANCISCO DO GUAPORE"";55;51;76;65;85;84;51;23;14;11;10;13;15;553"
"""110150 SERINGUEIRAS"";-;92;129;111;67;50;36;5;4;1;1;6;20;522"
"""110155 TEIXEIROPOLIS"";1;11;9;25;14;5;2;3;-;1;2;4;9;86"
"""110160 THEOBROMA"";11;45;20;17;12;3;2;-;-;4;6;5;12;137"
"""110170 URUPA"";1;24;24;14;7;12;1;3;-;2;-;1;25;114"
"""110175 VALE DO ANARI"";37;45;91;36;38;29;27;12;12;13;9;10;28;387"
"""110180 VALE DO PARAISO"";1;19;11;30;37;17;15;11;3;3;1;-;6;154"
"""120001 ACRELANDIA"";25;95;60;34;13;6;5;1;1;1;9;7;26;283"
"""120005 ASSIS BRASIL"";133;474;229;313;162;91;30;24;26;22;58;149;251;1962"
"""120010 BRASILEIA"";265;1100;439;322;193;116;64;61;59;51;117;243;906;3936"
"""120013 BUJARI"";2;87;122;35;6;8;1;1;1;2;10;6;59;340"
"""120017 CAPIXABA"";1;50;36;40;17;13;4;3;5;7;21;120;143;460"
"""120020 CRUZEIRO DO SUL"";2552;1768;1475;1131;755;488;293;308;237;257;654;1733;2386;14037"
"""120025 EPITACIOLANDIA"";56;135;26;28;27;11;7;5;2;5;1;21;37;361"
"""120030 FEIJO"";47;521;456;254;171;130;43;23;14;67;101;522;463;2812"
"""120032 JORDAO"";-;-;1;-;-;-;-;-;-;-;-;-;-;1"
"""120033 MANCIO LIMA"";115;309;207;139;98;54;24;29;50;49;107;184;125;1490"
"""120034 MANOEL URBANO"";7;60;35;48;23;16;17;10;8;6;66;114;76;486"
"""120035 MARECHAL THAUMATURGO"";156;276;224;145;114;87;15;12;14;28;80;256;302;1709"
"""120038 PLACIDO DE CASTRO"";1;116;39;39;16;3;5;1;2;-;3;3;94;322"
"""120039 PORTO WALTER"";22;51;54;64;36;11;5;8;8;4;23;74;28;388"
"""120040 RIO BRANCO"";820;4261;4333;2949;1266;678;265;206;130;187;243;515;1584;17437"
"""120042 RODRIGUES ALVES"";307;280;233;138;93;83;48;42;43;44;92;336;385;2124"
"""120043 SANTA ROSA DO PURUS"";-;-;-;-;-;-;-;-;-;-;-;3;-;3"
"""120045 SENADOR GUIOMARD"";9;49;32;9;4;11;4;-;2;8;7;18;72;225"
"""120050 SENA MADUREIRA"";62;408;360;311;167;101;48;35;36;48;126;116;249;2067"
"""120060 TARAUACA"";497;1996;1150;693;208;129;68;45;88;27;351;723;787;6762"
"""120070 XAPURI"";179;368;480;281;115;55;22;21;23;6;14;118;403;2085"
"""120080 PORTO ACRE"";5;74;34;128;1;2;3;-;2;2;22;73;54;400"
"""130002 ALVARAES"";-;47;32;115;80;44;14;14;34;29;63;58;53;583"
"""130006 AMATURA"";-;2;2;-;-;-;-;-;-;-;-;-;-;4"
"""130010 ANORI"";-;-;1;1;1;-;-;-;-;-;-;-;-;3"
"""130014 APUI"";-;5;-;2;-;-;-;-;-;-;-;-;-;7"
"""130020 ATALAIA DO NORTE"";9;28;98;285;155;40;35;11;4;23;92;95;37;912"
"""130030 AUTAZES"";-;-;2;1;1;-;1;-;-;-;-;-;-;5"
"""130040 BARCELOS"";42;2;8;18;8;12;13;3;25;10;15;2;3;161"
"""130060 BENJAMIN CONSTANT"";559;101;154;84;27;16;5;7;66;450;735;380;569;3153"
"""130063 BERURI"";-;5;11;17;13;7;3;8;-;2;-;-;-;66"
"""130068 BOA VISTA DO RAMOS"";-;-;2;-;1;-;-;-;-;-;-;-;-;3"
"""130070 BOCA DO ACRE"";204;178;59;47;11;6;3;-;-;-;233;174;87;1002"
"""130080 BORBA"";16;17;23;17;10;8;9;5;10;15;6;9;7;152"
"""130083 CAAPIRANGA"";-;-;1;1;7;1;1;-;-;-;-;-;-;11"
"""130090 CANUTAMA"";-;12;134;39;-;-;-;-;-;-;-;1;-;186"
"""130100 CARAUARI"";335;12;30;15;7;9;4;6;6;6;23;313;302;1068"
"""130110 CAREIRO"";5;4;2;3;1;-;2;1;3;-;-;1;-;22"
"""130115 CAREIRO DA VARZEA"";-;-;1;-;-;-;-;-;-;-;-;-;-;1"
"""130120 COARI"";6;135;283;74;24;17;6;29;12;6;5;12;70;679"
"""130130 CODAJAS"";7;22;62;223;18;21;3;9;8;5;3;6;13;400"
"""130140 EIRUNEPE"";152;97;247;113;62;37;27;25;31;28;128;43;115;1105"
"""130150 ENVIRA"";14;300;263;157;100;86;41;40;113;139;126;79;184;1642"
"""130160 FONTE BOA"";1;-;-;-;2;4;-;-;-;-;-;-;-;7"
"""130165 GUAJARA"";373;154;119;107;63;88;63;97;120;147;356;463;375;2525"
"""130170 HUMAITA"";145;151;148;151;100;74;48;22;8;24;28;61;66;1026"
"""130180 IPIXUNA"";31;265;250;259;105;116;31;61;28;8;14;90;145;1403"
"""130185 IRANDUBA"";8;24;45;121;91;80;33;33;9;2;7;7;4;464"
"""130190 ITACOATIARA"";16;11;17;9;7;16;10;11;5;5;1;6;2;116"
"""130210 JAPURA"";-;54;122;136;18;39;24;16;5;34;44;155;111;758"
"""130220 JURUA"";-;-;3;1;3;-;-;-;1;-;-;-;-;8"
"""130230 JUTAI"";507;250;261;267;299;249;162;207;81;72;56;62;64;2537"
"""130240 LABREA"";248;460;346;187;153;20;22;30;28;78;117;150;517;2356"
"""130250 MANACAPURU"";8;8;36;28;93;61;20;14;21;20;3;11;17;340"
"""130255 MANAQUIRI"";-;2;1;1;1;2;-;-;-;-;-;-;-;7"
"""130260 MANAUS"";762;1775;1497;1660;1432;1019;837;728;469;382;302;361;679;11903"
"""130270 MANICORE"";14;159;273;123;55;36;7;17;37;18;18;60;41;858"
"""130280 MARAA"";-;6;14;36;17;7;9;17;15;-;1;7;2;131"
"""130290 MAUES"";-;83;9;8;7;7;3;5;-;1;1;2;71;197"
"""130300 NHAMUNDA"";-;-;1;-;-;-;-;-;3;-;-;-;-;4"
"""130310 NOVA OLINDA DO NORTE"";-;-;-;-;-;-;-;1;-;-;-;-;-;1"
"""130320 NOVO AIRAO"";-;7;21;2;1;1;-;1;2;8;2;4;2;51"
"""130330 NOVO ARIPUANA"";11;6;7;3;7;3;-;3;1;-;2;-;2;45"
"""130340 PARINTINS"";27;15;21;12;6;9;8;10;5;5;5;3;5;131"
"""130350 PAUINI"";1;-;-;-;1;1;1;-;-;-;-;1;-;5"
"""130353 PRESIDENTE FIGUEIREDO"";82;17;33;44;41;25;9;8;4;3;9;4;4;283"
"""130356 RIO PRETO DA EVA"";4;5;15;2;10;7;5;10;4;1;1;12;8;84"
"""130360 SANTA ISABEL DO RIO NEGRO"";42;-;1;3;3;11;-;-;2;-;-;4;-;66"
"""130370 SANTO ANTONIO DO ICA"";13;54;45;16;41;24;1;-;-;2;1;26;100;323"
"""130380 SAO GABRIEL DA CACHOEIRA"";818;30;53;22;11;6;4;2;3;45;170;303;387;1854"
"""130390 SAO PAULO DE OLIVENCA"";11;98;89;70;34;31;23;15;8;20;46;9;21;475"
"""130395 SAO SEBASTIAO DO UATUMA"";-;17;1;4;-;1;-;-;-;7;2;1;1;34"
"""130406 TABATINGA"";88;140;155;89;45;17;19;21;16;45;198;143;140;1116"
"""130410 TAPAUA"";-;39;91;106;69;124;150;91;67;66;91;273;248;1415"
"""130420 TEFE"";19;222;222;283;226;226;97;134;66;29;35;76;83;1718"
"""130423 TONANTINS"";5;134;250;144;89;5;7;6;8;7;19;5;53;732"
"""130426 UARINI"";-;-;1;-;1;2;-;-;1;1;1;-;1;8"
"""130430 URUCARA"";-;-;-;-;-;-;-;-;-;-;-;2;-;2"
"""130440 URUCURITUBA"";-;1;1;1;-;-;-;-;1;-;-;-;-;4"
"""140002 AMAJARI"";4;-;1;4;-;-;-;2;1;-;2;3;-;17"
"""140005 ALTO ALEGRE"";-;-;2;7;2;6;5;10;21;3;3;2;1;62"
"""140010 BOA VISTA"";349;101;82;63;56;74;119;87;91;183;266;423;234;2128"
"""140015 BONFIM"";11;2;2;2;1;1;9;16;65;48;11;11;10;189"
"""140017 CANTA"";23;2;6;1;2;2;1;3;4;19;2;5;6;76"
"""140020 CARACARAI"";9;1;8;14;19;14;2;10;13;26;38;39;70;263"
"""140023 CAROEBE"";1;9;10;36;49;65;47;13;7;5;3;1;1;247"
"""140028 IRACEMA"";-;1;5;-;1;7;14;8;11;1;5;2;1;56"
"""140030 MUCAJAI"";7;4;-;5;2;1;4;9;13;25;12;-;2;84"
"""140040 NORMANDIA"";35;3;16;17;5;4;5;8;3;2;1;1;1;101"
"""140045 PACARAIMA"";-;5;6;5;12;16;2;6;5;3;1;2;8;71"
"""140047 RORAINOPOLIS"";16;7;11;8;13;44;78;23;20;13;11;6;10;260"
"""140050 SAO JOAO DA BALIZA"";-;4;5;5;9;5;6;4;6;1;1;2;1;49"
"""140060 SAO LUIZ"";1;-;4;9;-;5;9;-;-;2;1;2;-;33"
"""140070 UIRAMUTA"";-;-;-;-;-;1;-;2;1;-;3;5;11;23"
"""150010 ABAETETUBA"";15;37;76;78;26;26;26;32;45;60;34;18;11;484"
"""150013 ABEL FIGUEIREDO"";1;3;12;4;6;3;2;2;2;-;-;-;1;36"
"""150020 ACARA"";2;20;36;17;18;25;17;26;7;21;14;11;14;228"
"""150030 AFUA"";-;147;79;140;135;107;28;16;7;-;3;29;36;727"
"""150034 AGUA AZUL DO NORTE"";4;31;45;43;30;17;9;7;16;15;6;5;5;233"
"""150040 ALENQUER"";43;27;13;66;77;22;3;3;-;1;-;1;17;273"
"""150050 ALMEIRIM"";-;12;47;32;15;2;1;1;-;-;-;-;-;110"
"""150060 ALTAMIRA"";290;199;395;609;350;287;94;112;120;92;39;105;85;2777"
