"""Município de notificação"";""Em Branco/ign"";""Semana 01"";""Semana 02"";""Semana 03"";""Semana 04"";""Semana 05"";""Semana 06"";""Semana 07"";""Semana 08"";""Semana 09"";""Semana 10"";""Semana 11"";""Semana 12"";""Semana 13"";""Semana 14"";""Semana 15"";""Semana 16"";""Semana 17"";""Semana 18"";""Semana 19"";""Semana 20"";""Semana 21"";""Semana 22"";""Semana 23"";""Semana 24"";""Semana 25"";""Semana 26"";""Semana 27"";""Semana 28"";""Semana 29"";""Semana 30"";""Semana 31"";""Semana 32"";""Semana 33"";""Semana 34"";""Semana 35"";""Semana 36"";""Semana 37"";""Semana 38"";""Semana 39"";""Semana 40"";""Semana 41"";""Semana 42"";""Semana 43"";""Semana 44"";""Semana 45"";""Semana 46"";""Semana 47"";""Semana 48"";""Semana 49"";""Semana 50"";""Semana 51"";""Semana 52"";""Semana 53"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7"
"""110002 ARIQUEMES"";-;2;11;5;9;11;10;9;4;6;4;4;2;-;9;4;2;4;3;2;11;2;4;5;3;5;5;5;1;2;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;2;1;2;-;-;155"
"""110003 CABIXI"";-;1;-;2;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;11"
"""110004 CACOAL"";-;2;1;-;4;1;4;3;-;4;4;6;-;-;5;6;4;3;1;9;2;6;3;5;3;5;1;1;1;3;1;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;3;9;5;-;-;113"
"""110005 CEREJEIRAS"";-;3;6;12;14;16;9;6;2;6;15;12;6;7;10;7;4;2;1;5;2;1;1;1;-;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;154"
"""110006 COLORADO DO OESTE"";-;1;2;-;2;-;5;1;-;2;4;5;11;3;7;2;5;3;3;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62"
"""110007 CORUMBIARA"";-;-;1;2;2;4;2;1;1;4;1;5;1;1;-;-;-;-;1;1;-;1;-;-;2;-;-;2;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;37"
"""110008 COSTA MARQUES"";-;-;-;-;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;3;2;-;2;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4;4;3;-;-;28"
"""110009 ESPIGAO D'OESTE"";-;-;-;-;1;-;-;1;-;3;-;2;1;-;2;4;8;4;7;17;1;1;7;5;8;9;8;6;9;5;7;3;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;125"
"""110010 GUAJARA-MIRIM"";-;1;-;-;-;4;1;-;-;-;-;-;-;-;-;-;1;-;2;1;-;3;2;1;2;-;-;2;-;1;-;-;1;-;1;-;2;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;29"
"""110011 JARU"";-;1;1;1;6;3;2;3;1;-;7;12;2;-;-;5;1;3;3;1;2;12;11;6;-;2;5;1;1;1;1;1;1;-;-;-;-;-;-;2;1;-;-;-;-;1;-;-;3;2;1;5;6;3;120"
"""110012 JI-PARANA"";-;-;-;-;1;-;1;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;10"
"""110013 MACHADINHO D'OESTE"";-;-;1;1;-;-;1;-;-;-;1;-;-;2;2;1;-;1;-;-;1;-;1;-;2;-;2;2;1;2;4;-;2;1;1;-;1;-;-;1;1;-;1;-;1;-;-;-;1;2;-;1;2;-;40"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;2;1;4;8;9;9;19;14;18;26;14;16;16;9;11;8;8;7;7;7;8;3;1;1;5;-;2;1;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;240"
"""110015 OURO PRETO DO OESTE"";-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;11"
"""110018 PIMENTA BUENO"";-;1;-;1;-;1;-;-;1;-;1;1;4;2;2;3;3;2;-;1;4;-;1;1;-;4;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;38"
"""110020 PORTO VELHO"";-;15;5;10;16;14;27;16;18;18;7;11;5;8;9;13;11;3;3;8;3;-;1;3;1;3;-;12;7;3;5;2;4;2;1;2;1;-;1;-;1;2;5;1;-;2;1;4;2;2;4;8;9;-;309"
"""110025 PRESIDENTE MEDICI"";-;-;-;1;-;-;-;1;-;-;-;-;1;3;-;3;1;2;-;2;1;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19"
"""110026 RIO CRESPO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4;2;-;-;-;1;-;-;2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16"
"""110028 ROLIM DE MOURA"";-;1;-;1;-;2;1;1;1;3;-;2;3;2;2;3;4;3;2;9;10;10;9;6;10;10;7;5;2;4;9;7;1;5;3;3;2;2;1;1;-;1;-;-;-;1;-;1;1;3;2;-;1;-;157"
"""110029 SANTA LUZIA D'OESTE"";-;-;1;-;-;1;-;-;1;3;4;-;-;-;-;-;1;-;-;1;4;4;-;3;-;-;-;1;-;-;-;1;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;30"
"""110030 VILHENA"";-;5;6;13;14;27;61;55;59;44;66;90;92;97;73;75;51;39;36;40;38;28;16;17;11;17;13;8;3;3;8;2;3;-;3;2;2;1;-;-;2;2;2;1;2;2;2;1;1;2;5;6;4;1;1151"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;1;5;-;1;4;1;4;8;11;3;3;2;-;3;-;-;-;6;16;13;2;2;1;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;90"
"""110033 NOVA MAMORE"";-;2;3;7;7;10;13;9;6;14;14;21;18;10;8;4;7;15;20;7;3;-;1;3;3;1;2;1;1;2;2;1;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;-;2;-;222"
"""110034 ALVORADA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""110037 ALTO ALEGRE DOS PARECIS"";-;13;14;8;20;2;6;5;3;-;-;2;-;1;-;-;1;-;-;3;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;85"
"""110040 ALTO PARAISO"";-;1;-;-;2;3;2;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12"
"""110045 BURITIS"";-;5;4;5;9;6;3;9;4;2;-;1;5;2;1;3;4;2;9;5;5;2;2;2;4;7;5;14;4;8;2;2;3;3;-;3;3;1;-;2;2;-;2;2;1;2;4;2;1;5;5;11;13;6;207"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""110060 CACAULANDIA"";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;4;2;4;3;-;-;-;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;-;-;-;-;-;-;-;1;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9"
"""110092 CHUPINGUAIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;7"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9"
"""110110 ITAPUA DO OESTE"";-;-;1;-;1;-;4;8;5;7;4;1;-;2;1;2;1;-;4;5;4;12;8;5;6;3;10;3;3;2;1;2;1;1;3;1;-;2;-;1;-;-;-;1;-;-;-;-;-;-;3;1;-;-;119"
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""110130 MIRANTE DA SERRA"";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""110140 MONTE NEGRO"";-;-;1;2;-;-;2;1;2;2;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;18"
"""110143 NOVA UNIAO"";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
