"""Município de notificação"";""Semana 01"";""Semana 02"";""Semana 03"";""Semana 04"";""Semana 05"";""Semana 06"";""Semana 07"";""Semana 08"";""Semana 09"";""Semana 10"";""Semana 11"";""Semana 12"";""Semana 13"";""Semana 14"";""Semana 15"";""Semana 16"";""Semana 17"";""Semana 18"";""Semana 19"";""Semana 20"";""Semana 21"";""Semana 22"";""Semana 23"";""Semana 24"";""Semana 25"";""Semana 26"";""Semana 27"";""Semana 28"";""Semana 29"";""Semana 30"";""Semana 31"";""Semana 32"";""Semana 33"";""Semana 34"";""Semana 35"";""Semana 36"";""Semana 37"";""Semana 38"";""Semana 39"";""Semana 40"";""Semana 41"";""Semana 42"";""Semana 43"";""Semana 44"";""Semana 45"";""Semana 46"";""Semana 47"";""Semana 48"";""Semana 49"";""Semana 50"";""Semana 51"";""Semana 52"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2"
"""110002 ARIQUEMES"";2;1;3;1;-;-;-;-;-;2;-;1;2;-;-;-;1;1;1;3;2;-;-;1;-;-;2;1;1;1;2;2;1;-;-;-;-;-;-;-;-;-;-;-;2;1;2;7;1;2;1;2;49"
"""110003 CABIXI"";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""110004 CACOAL"";8;2;4;9;3;8;9;7;3;6;11;8;4;6;3;4;5;3;1;-;-;3;1;-;-;2;2;1;-;2;2;-;-;-;-;-;-;-;1;-;1;1;-;-;3;4;2;8;13;17;28;21;216"
"""110005 CEREJEIRAS"";1;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;8"
"""110007 CORUMBIARA"";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""110008 COSTA MARQUES"";4;1;2;3;4;3;1;2;1;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;29"
"""110009 ESPIGAO D'OESTE"";1;3;3;-;2;-;-;-;3;-;-;3;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24"
"""110010 GUAJARA-MIRIM"";2;-;1;2;2;8;21;2;8;4;3;4;1;1;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;2;-;3;2;-;-;73"
"""110011 JARU"";3;3;3;1;2;1;5;2;2;4;-;1;1;3;-;-;-;-;1;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;37"
"""110012 JI-PARANA"";-;1;-;1;-;-;1;1;3;3;2;1;3;1;2;6;2;4;8;8;1;2;1;-;-;-;1;-;-;-;3;1;4;1;1;-;1;1;-;3;2;2;1;-;-;-;1;-;1;1;2;2;79"
"""110013 MACHADINHO D'OESTE"";-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;4;1;1;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;16"
"""110014 NOVA BRASILANDIA D'OESTE"";-;1;1;-;1;1;3;1;4;1;1;-;-;5;-;3;2;3;-;2;1;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;1;-;1;40"
"""110015 OURO PRETO DO OESTE"";1;-;1;1;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7"
"""110018 PIMENTA BUENO"";-;2;3;2;4;4;6;2;8;3;6;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;49"
"""110020 PORTO VELHO"";23;20;8;9;13;9;4;4;5;1;8;4;6;2;2;12;6;3;3;7;7;-;-;11;2;5;1;3;2;1;-;-;3;1;-;1;-;-;-;-;-;3;2;2;1;3;4;4;1;4;1;3;214"
"""110025 PRESIDENTE MEDICI"";-;-;-;1;-;-;-;1;1;3;2;-;3;1;1;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;8;5;4;3;41"
"""110026 RIO CRESPO"";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3"
"""110028 ROLIM DE MOURA"";1;1;1;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;2;-;1;-;-;-;-;16"
"""110029 SANTA LUZIA D'OESTE"";-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;10"
"""110030 VILHENA"";1;4;2;2;2;4;5;3;6;4;3;2;4;3;5;5;2;5;3;1;2;3;2;3;2;1;1;-;-;1;-;1;2;-;1;1;-;-;-;-;-;-;-;1;-;1;-;2;1;2;5;3;101"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;1;2;11;10;1;-;38"
"""110033 NOVA MAMORE"";-;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;9"
"""110034 ALVORADA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""110037 ALTO ALEGRE DOS PARECIS"";-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4"
"""110040 ALTO PARAISO"";-;-;-;4;4;-;4;1;2;-;2;2;4;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27"
"""110045 BURITIS"";7;21;16;19;20;18;15;5;13;2;3;3;6;8;1;1;3;-;1;1;1;4;1;1;2;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;3;6;10;6;8;13;8;10;243"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;3;2;-;-;-;-;-;-;14"
"""110060 CACAULANDIA"";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;2;1;-;-;-;3;3;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;3;1;6;14;15;14;4;76"
"""110080 CANDEIAS DO JAMARI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;1;1;-;-;7"
"""110090 CASTANHEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;6;3;-;5;4;7;5;-;-;35"
"""110092 CHUPINGUAIA"";5;3;12;1;-;1;10;2;12;2;3;3;6;3;-;1;3;2;2;2;1;3;1;-;2;4;3;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;92"
"""110094 CUJUBIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;8"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2"
"""110110 ITAPUA DO OESTE"";1;1;2;2;7;3;-;3;3;1;4;1;2;2;1;-;-;-;2;-;-;1;-;4;1;2;4;3;1;2;-;1;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;58"
