"""Município de notificação"";""Em Branco/ign"";""Semana 01"";""Semana 02"";""Semana 03"";""Semana 04"";""Semana 05"";""Semana 06"";""Semana 07"";""Semana 08"";""Semana 09"";""Semana 10"";""Semana 11"";""Semana 12"";""Semana 13"";""Semana 14"";""Semana 15"";""Semana 16"";""Semana 17"";""Semana 18"";""Semana 19"";""Semana 20"";""Semana 21"";""Semana 22"";""Semana 23"";""Semana 24"";""Semana 25"";""Semana 26"";""Semana 27"";""Semana 28"";""Semana 29"";""Semana 30"";""Semana 31"";""Semana 32"";""Semana 33"";""Semana 34"";""Semana 35"";""Semana 36"";""Semana 37"";""Semana 38"";""Semana 39"";""Semana 40"";""Semana 41"";""Semana 42"";""Semana 43"";""Semana 44"";""Semana 45"";""Semana 46"";""Semana 47"";""Semana 48"";""Semana 49"";""Semana 50"";""Semana 51"";""Semana 52"";""Semana 53"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;50;50;72;51;39;49;20;39;35;37;34;13;9;30;25;11;16;29;31;37;19;30;10;36;32;22;32;34;23;37;32;16;14;13;15;4;12;18;12;14;15;14;17;16;19;26;30;33;52;44;44;8;1;1421"
"""110002 ARIQUEMES"";-;48;62;55;56;60;54;74;73;123;75;80;98;71;81;90;73;56;56;35;34;36;31;27;16;29;30;25;28;19;10;15;31;12;8;8;11;7;8;3;5;8;1;9;7;6;10;17;21;21;15;25;12;2;1867"
"""110003 CABIXI"";-;5;3;12;6;6;3;2;7;13;16;19;13;6;3;2;3;3;5;3;4;4;4;5;2;2;2;3;1;1;1;-;1;-;1;-;2;3;1;5;4;1;6;4;2;5;6;9;6;4;5;-;2;-;226"
"""110004 CACOAL"";-;156;137;142;164;184;191;227;223;201;212;207;118;161;131;113;89;58;62;57;32;40;25;34;11;37;29;14;12;15;16;13;9;8;7;6;7;8;18;9;9;8;8;4;8;16;14;14;23;39;49;53;26;-;3454"
"""110005 CEREJEIRAS"";-;9;14;24;21;23;15;11;18;37;50;28;34;15;14;15;8;7;11;16;9;7;7;7;10;2;1;1;3;1;3;1;-;4;1;-;-;1;-;1;-;1;2;2;-;1;-;-;2;3;-;2;2;-;444"
"""110006 COLORADO DO OESTE"";-;4;3;1;4;1;7;5;9;30;12;11;14;5;13;4;7;4;5;6;3;3;2;5;6;10;6;7;3;1;-;-;-;-;1;1;1;2;-;-;1;-;1;2;-;-;-;1;1;-;-;2;1;-;205"
"""110007 CORUMBIARA"";-;-;2;5;12;23;16;22;22;12;9;11;3;11;6;2;6;9;3;5;6;3;4;3;4;2;1;3;3;1;1;-;2;-;1;1;-;-;-;-;-;1;-;1;-;-;-;-;2;-;1;1;1;1;222"
"""110008 COSTA MARQUES"";-;4;1;5;3;4;7;6;19;28;39;32;12;10;11;13;8;4;1;5;-;2;4;-;3;2;1;2;1;1;2;2;2;2;2;2;2;2;-;-;1;6;3;8;1;2;1;1;1;4;5;4;-;-;281"
"""110009 ESPIGAO D'OESTE"";-;14;22;15;13;20;30;31;30;41;55;68;63;78;75;83;70;79;69;59;33;37;26;36;20;35;30;15;19;11;12;8;8;8;3;3;2;6;-;1;-;-;1;1;4;1;2;2;2;2;-;2;1;1;1247"
"""110010 GUAJARA-MIRIM"";-;20;23;34;25;21;18;33;11;20;7;17;6;5;3;2;6;2;6;3;2;3;3;2;2;2;4;4;1;1;-;-;1;2;1;-;4;1;4;1;-;-;1;1;1;-;2;4;3;4;7;9;11;-;343"
"""110011 JARU"";-;158;157;99;74;79;45;66;38;41;53;57;29;33;18;22;20;13;22;27;16;29;30;30;17;9;23;9;11;14;12;8;13;7;8;2;5;8;18;14;19;34;25;38;50;53;103;103;151;106;160;189;97;7;2469"
"""110012 JI-PARANA"";-;94;94;101;89;85;115;90;88;93;78;78;51;43;43;47;72;71;50;53;46;31;23;28;17;17;22;13;14;13;18;22;4;16;13;17;9;8;16;9;11;7;7;5;3;4;6;28;29;39;43;60;46;2;2081"
"""110013 MACHADINHO D'OESTE"";-;12;6;5;10;12;39;22;22;27;13;13;7;21;29;13;35;32;24;21;5;6;15;6;4;-;3;5;3;3;7;2;11;1;1;-;2;-;1;1;1;-;3;2;4;-;1;1;9;2;3;3;2;-;470"
"""110014 NOVA BRASILANDIA D'OESTE"";-;10;15;23;17;24;26;36;45;47;64;89;71;62;70;67;69;53;46;50;33;23;45;26;20;12;17;11;13;10;9;8;4;9;12;5;8;7;5;6;6;7;9;1;3;5;5;10;6;11;6;4;5;-;1245"
"""110015 OURO PRETO DO OESTE"";-;4;5;4;12;3;3;4;8;2;5;5;7;5;12;5;3;2;4;3;6;5;1;2;5;-;1;1;-;-;2;2;2;1;1;-;-;1;5;-;2;-;3;2;2;3;2;3;2;4;4;4;1;-;163"
"""110018 PIMENTA BUENO"";-;44;59;67;64;84;98;82;69;85;86;59;55;35;31;33;37;24;22;24;17;8;9;5;1;12;3;8;9;10;7;8;6;6;9;1;11;4;2;2;5;1;4;7;7;6;4;12;9;17;36;25;16;-;1345"
"""110020 PORTO VELHO"";-;145;134;129;138;172;204;172;169;227;185;208;207;195;170;179;165;166;143;119;124;103;85;88;68;64;58;68;73;57;44;43;37;29;22;22;11;17;19;15;11;16;29;24;26;30;28;43;50;38;64;54;36;-;4723"
"""110025 PRESIDENTE MEDICI"";-;12;10;32;32;26;39;34;40;70;51;23;25;23;13;28;14;8;9;12;18;6;5;8;1;5;2;4;5;12;4;1;6;2;-;2;2;1;-;3;4;1;-;5;2;12;5;4;3;18;7;6;3;-;658"
"""110026 RIO CRESPO"";-;5;10;4;13;6;5;3;13;2;8;5;11;7;6;4;5;8;9;1;1;4;3;-;-;3;1;1;1;-;1;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;149"
"""110028 ROLIM DE MOURA"";-;38;30;59;51;48;72;74;206;186;233;109;216;79;88;68;83;74;46;38;34;29;23;13;16;24;20;13;8;8;20;14;11;7;5;9;5;9;7;4;10;4;3;-;5;12;6;7;7;10;10;12;4;1;2168"
"""110029 SANTA LUZIA D'OESTE"";-;15;11;15;9;11;3;6;13;18;16;11;7;3;2;3;2;3;2;5;6;7;1;4;2;1;-;3;1;-;-;1;1;-;-;1;-;1;1;-;7;-;1;1;2;6;3;16;12;3;12;15;8;-;271"
"""110030 VILHENA"";-;148;162;138;159;122;200;159;156;142;253;192;184;202;161;183;141;102;149;150;127;98;92;81;70;88;47;71;50;40;39;42;37;41;33;18;28;20;13;38;23;19;73;33;56;41;46;118;97;107;152;82;39;1;5063"
"""110032 SAO MIGUEL DO GUAPORE"";-;16;20;45;17;1;5;19;27;17;13;8;3;5;-;5;3;5;4;8;18;13;3;5;4;2;1;-;1;-;-;-;1;-;-;1;-;1;-;-;1;1;1;4;-;2;4;3;3;15;12;7;6;13;343"
"""110033 NOVA MAMORE"";-;7;20;25;39;48;36;29;27;36;43;39;28;17;23;14;17;18;26;9;12;4;3;7;7;4;4;2;8;4;3;3;1;-;2;-;-;-;-;-;4;1;3;2;3;3;2;5;10;10;7;12;16;-;643"
"""110034 ALVORADA D'OESTE"";-;47;33;33;16;18;22;8;13;4;5;2;1;1;4;-;5;3;4;1;-;2;1;1;-;2;-;1;-;-;1;-;1;-;2;-;-;1;-;-;-;1;-;-;1;1;4;7;30;32;26;30;28;-;392"
"""110037 ALTO ALEGRE DOS PARECIS"";-;14;20;14;32;11;9;8;8;14;12;24;11;9;4;2;3;7;-;5;-;1;3;-;2;-;-;-;-;1;1;1;2;-;-;-;-;-;3;1;5;10;22;24;14;4;2;6;19;8;11;8;4;-;359"
"""110040 ALTO PARAISO"";-;7;13;4;7;13;8;8;2;10;6;11;3;10;1;4;1;2;12;5;1;5;4;7;2;3;-;1;1;2;4;-;2;1;1;1;-;-;-;-;-;5;4;1;1;8;7;5;2;5;3;4;-;-;207"
"""110045 BURITIS"";-;51;54;69;98;79;73;65;56;72;32;46;32;21;37;22;39;17;17;12;15;11;15;11;18;25;12;23;9;10;8;4;6;4;3;3;5;2;7;4;3;8;7;4;4;7;18;14;12;19;38;27;28;8;1284"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;2;2;2;1;3;2;12;23;30;10;10;6;2;3;1;2;4;3;1;3;1;1;-;-;-;-;2;1;-;-;-;-;1;-;-;-;1;-;1;-;-;4;3;2;-;-;1;-;-;-;-;140"
"""110060 CACAULANDIA"";-;15;12;20;19;32;34;32;33;23;29;13;14;13;9;8;3;8;17;12;8;8;7;2;3;1;1;3;4;1;-;3;-;-;2;-;-;-;1;1;-;1;2;-;-;2;2;1;3;-;7;5;6;1;421"
"""110070 CAMPO NOVO DE RONDONIA"";-;10;8;7;7;3;3;3;2;4;8;11;4;4;4;3;5;1;2;3;2;-;-;-;4;3;-;2;3;-;1;-;-;1;1;-;-;-;-;-;1;1;-;-;2;1;4;1;6;15;20;16;6;-;182"
"""110080 CANDEIAS DO JAMARI"";-;5;6;5;6;5;7;7;12;24;35;23;10;8;5;11;10;11;15;17;12;4;2;2;13;5;3;6;3;1;1;3;9;1;1;1;-;1;-;2;-;-;-;-;-;1;3;1;3;4;2;-;-;-;306"
"""110090 CASTANHEIRAS"";-;6;5;7;3;2;4;14;13;12;1;6;3;4;3;6;1;3;4;5;4;3;1;-;-;1;3;-;3;-;-;1;-;-;-;2;-;1;-;-;1;1;2;1;6;3;-;5;5;7;5;-;-;-;157"
"""110092 CHUPINGUAIA"";-;12;10;20;11;9;12;24;18;37;38;16;18;20;21;13;17;19;17;16;14;19;11;5;10;6;5;9;11;5;4;1;3;3;-;5;6;3;2;3;1;3;1;2;2;1;5;5;-;6;1;-;-;-;500"
